Change Component Designator: OldDesignator=3 NewDesignator=R11
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=NetC5_2 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=NetD13_1 Pin=D13-1
Added Pin To Net: NetName=NetD13_2 Pin=D13-2
Added Pin To Net: NetName=NetD14_1 Pin=D14-1
Added Pin To Net: NetName=NetD13_1 Pin=D14-2
Added Pin To Net: NetName=VCC Pin=D15-1
Added Pin To Net: NetName=NetD15_2 Pin=D15-2
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=VCC Pin=F1-2
Added Pin To Net: NetName=NetS1_2 Pin=IC1-1
Added Pin To Net: NetName=NetIC1_2 Pin=IC1-2
Added Pin To Net: NetName=NetR17_2 Pin=IC1-3
Added Pin To Net: NetName=NetS1_2 Pin=IC1-4
Added Pin To Net: NetName=NetS2_2 Pin=IC1-5
Added Pin To Net: NetName=NetR2_1 Pin=IC1-6
Added Pin To Net: NetName=GND Pin=IC1-7
Added Pin To Net: NetName=NetR34_2 Pin=IC1-8
Added Pin To Net: NetName=NetS3_2 Pin=IC1-9
Added Pin To Net: NetName=NetIC1_10 Pin=IC1-10
Added Pin To Net: NetName=NetR19_1 Pin=IC1-11
Added Pin To Net: NetName=NetS3_2 Pin=IC1-12
Added Pin To Net: NetName=NetS4_2 Pin=IC1-13
Added Pin To Net: NetName=VCC Pin=IC1-14
Added Pin To Net: NetName=NetS2_2 Pin=IC2-1
Added Pin To Net: NetName=NetIC1_2 Pin=IC2-2
Added Pin To Net: NetName=NetR17_2 Pin=IC2-3
Added Pin To Net: NetName=NetR1_1 Pin=IC2-4
Added Pin To Net: NetName=NetR2_1 Pin=IC2-5
Added Pin To Net: NetName=NetR16_2 Pin=IC2-6
Added Pin To Net: NetName=GND Pin=IC2-7
Added Pin To Net: NetName=NetR33_2 Pin=IC2-8
Added Pin To Net: NetName=NetR19_1 Pin=IC2-9
Added Pin To Net: NetName=NetR18_1 Pin=IC2-10
Added Pin To Net: NetName=NetR34_2 Pin=IC2-11
Added Pin To Net: NetName=NetIC1_10 Pin=IC2-12
Added Pin To Net: NetName=NetS4_2 Pin=IC2-13
Added Pin To Net: NetName=VCC Pin=IC2-14
Added Pin To Net: NetName=GND Pin=IC3-1
Added Pin To Net: NetName=NetC5_2 Pin=IC3-2
Added Pin To Net: NetName=NetS1_1 Pin=IC3-3
Added Pin To Net: NetName=5V Pin=IC3-4
Added Pin To Net: NetName=NetC6_2 Pin=IC3-5
Added Pin To Net: NetName=NetC5_2 Pin=IC3-6
Added Pin To Net: NetName=NetD13_1 Pin=IC3-7
Added Pin To Net: NetName=5V Pin=IC3-8
Added Pin To Net: NetName=GND Pin=Q8-3
Added Pin To Net: NetName=GND Pin=Q10-3
Added Pin To Net: NetName=GND Pin=Q24-3
Added Pin To Net: NetName=GND Pin=Q26-3
Added Pin To Net: NetName=5V Pin=R35-1
Added Pin To Net: NetName=NetD13_1 Pin=R35-2
Added Pin To Net: NetName=NetD15_2 Pin=R36-1
Added Pin To Net: NetName=GND Pin=R36-2
